logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,36424.90799999998,12.141636000000002,2465,82.16666666666667,3000
QF_BV,GRACKLE,37902.5800000001,12.634193333333334,2459,81.96666666666667,3000
QF_BV,CSBS,44552.46000000024,14.85082,2317,77.23333333333333,3000
QF_BV,SBS,135467.71999999945,45.15590666666667,768,25.6,3000
QF_LIA,VBS,20760.26600000008,6.9200886666666666,2721,90.7,3000
QF_LIA,GRACKLE,24603.52800000023,8.201176,2696,89.86666666666666,3000
QF_LIA,CSBS,27520.450000000223,9.173483333333333,2636,87.86666666666667,3000
QF_LIA,SBS,61168.98999999944,20.38966333333333,2058,68.60000000000001,3000
QF_NRA,VBS,20564.758000000136,6.854919333333334,2697,89.9,3000
QF_NRA,GRACKLE,22219.485000000062,7.4064950000000005,2686,89.53333333333333,3000
QF_NRA,CSBS,30694.63500000005,10.231545000000002,2529,84.3,3000
QF_NRA,SBS,162003.90999999997,54.00130333333333,325,10.833333333333334,3000
