experiment_code,knob,value,logic,fold,total,vbs_par2,vbs_solved,sbs_par2,sbs_solved,sibyl_par2,sibyl_solved,vbs_matches,wall_seconds
ABL_EPOCHS,epochs,20,QF_BV,1,588,9113.724999999991,521,13268.59999999997,487,11727.178999999996,500,241,4708.8
ABL_EPOCHS,epochs,20,QF_BV,2,588,11532.377999999995,506,16360.239999999965,463,13710.056,487,216,4678.1
ABL_EPOCHS,epochs,20,QF_BV,3,588,10040.894000000004,515,14646.50199999996,475,11685.965999999993,501,207,4745.2
ABL_EPOCHS,epochs,20,QF_BV,4,588,8881.575999999988,530,14087.824999999975,481,10371.173999999986,516,233,4824.5
ABL_EPOCHS,epochs,20,QF_BV,5,592,9597.823000000006,521,13015.418999999983,491,11612.092,505,244,4745.5
