logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,36039.647000000026,12.013215666666666,2468,82.26666666666667,3000
QF_BV,GRACKLE,38209.13700000013,12.736379000000001,2442,81.39999999999999,3000
QF_BV,CSBS,43232.02000000017,14.410673333333335,2339,77.96666666666667,3000
QF_BV,SBS,135369.48999999967,45.12316333333333,769,25.633333333333336,3000
QF_LIA,VBS,19118.62100000018,6.372873666666666,2727,90.9,3000
QF_LIA,GRACKLE,22034.548000000283,7.344849333333334,2694,89.8,3000
QF_LIA,CSBS,23619.53000000029,7.873176666666667,2660,88.66666666666667,3000
QF_LIA,SBS,58276.209999999424,19.425403333333332,2069,68.96666666666667,3000
QF_NRA,VBS,20756.748000000134,6.918916,2691,89.7,3000
QF_NRA,GRACKLE,22553.57200000004,7.517857333333334,2679,89.3,3000
QF_NRA,CSBS,31031.420000000056,10.343806666666666,2520,84.0,3000
QF_NRA,SBS,162400.96099999998,54.13365366666667,316,10.533333333333333,3000
