logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,36290.844999999994,12.096948333333334,2466,82.19999999999999,3000
QF_BV,GRACKLE,38410.15799999996,12.803385999999998,2452,81.73333333333333,3000
QF_BV,CSBS,44648.74000000015,14.882913333333333,2321,77.36666666666666,3000
QF_BV,SBS,135978.45999999938,45.32615333333333,759,25.3,3000
QF_LIA,VBS,18148.31900000008,6.049439666666666,2749,91.63333333333334,3000
QF_LIA,GRACKLE,20625.97500000003,6.875324999999999,2725,90.83333333333333,3000
QF_LIA,CSBS,23313.950000000008,7.771316666666668,2669,88.96666666666667,3000
QF_LIA,SBS,58015.10999999896,19.33837,2080,69.33333333333334,3000
QF_NRA,VBS,20634.326000000143,6.878108666666667,2692,89.73333333333333,3000
QF_NRA,GRACKLE,23521.273000000077,7.840424333333332,2685,89.5,3000
QF_NRA,CSBS,41166.600999999646,13.722200333333332,2345,78.16666666666666,3000
QF_NRA,SBS,163656.429,54.552143,294,9.8,3000
