logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,36418.944999999905,12.139648333333334,2466,82.19999999999999,3000
QF_BV,GRACKLE,38712.42199999994,12.904140666666667,2451,81.69999999999999,3000
QF_BV,CSBS,45137.2400000001,15.045746666666666,2314,77.13333333333333,3000
QF_BV,SBS,136263.58999999936,45.42119666666667,756,25.2,3000
QF_LIA,VBS,21257.538000000146,7.085846,2700,90.0,3000
QF_LIA,GRACKLE,26078.63499999998,8.692878333333335,2674,89.13333333333333,3000
QF_LIA,CSBS,27145.290000000212,9.04843,2618,87.26666666666667,3000
QF_LIA,SBS,61124.17999999926,20.374726666666668,2043,68.10000000000001,3000
QF_NRA,VBS,20661.918000000136,6.887306,2692,89.73333333333333,3000
QF_NRA,GRACKLE,23850.85400000017,7.950284666666667,2681,89.36666666666667,3000
QF_NRA,CSBS,40965.72299999964,13.655241,2351,78.36666666666666,3000
QF_NRA,SBS,163417.19699999987,54.472398999999996,300,10.0,3000
