logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,55608.29899999963,18.536099666666665,2596,86.53333333333333,3000
QF_BV,GRACKLE,57816.62799999969,19.272209333333336,2594,86.46666666666667,3000
QF_BV,CSBS,77894.97099999968,25.964990333333336,2399,79.96666666666667,3000
QF_BV,SBS,77842.37199999968,25.947457333333336,2400,80.0,3000
QF_BV,RANDOM,93309.96399999983,31.10332133333333,2283,76.1,3000
QF_LIA,VBS,28880.20799999986,9.626736,2818,93.93333333333334,3000
QF_LIA,GRACKLE,36678.729999999654,12.226243333333334,2770,92.33333333333333,3000
QF_LIA,CSBS,37141.81799999966,12.380606,2765,92.16666666666666,3000
QF_LIA,SBS,37141.81799999966,12.380606,2765,92.16666666666666,3000
QF_LIA,RANDOM,107013.0380000003,35.67101266666667,2178,72.6,3000
QF_NRA,VBS,35170.556999999346,11.723519,2739,91.3,3000
QF_NRA,GRACKLE,46794.47500000012,15.598158333333336,2723,90.76666666666667,3000
QF_NRA,CSBS,73817.70399999984,24.605901333333332,2480,82.66666666666667,3000
QF_NRA,SBS,60868.78899999946,20.289596333333336,2607,86.9,3000
QF_NRA,RANDOM,74829.51800000003,24.943172666666666,2436,81.2,3000
