strategy,total_par2,avg_par2,solved,solved_pct
VBS,119659.06399999991,13.295451555555555,8153,90.58888888888889
GRACKLE,141289.8330000023,15.698870333333332,8087,89.85555555555555
CSBS,188854.49299999795,20.98383255555556,7644,84.93333333333334
SBS,175852.9790000047,19.53921988888889,7772,86.35555555555555
RANDOM,275152.51999999565,30.57250222222222,6897,76.63333333333333
