logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,36520.970999999925,12.173657000000002,2462,82.06666666666666,3000
QF_BV,GRACKLE,38720.456000000064,12.906818666666666,2446,81.53333333333333,3000
QF_BV,CSBS,44932.990000000194,14.977663333333332,2316,77.2,3000
QF_BV,SBS,136083.08999999956,45.36103,759,25.3,3000
QF_LIA,VBS,18884.25600000025,6.294752000000001,2740,91.33333333333333,3000
QF_LIA,GRACKLE,22004.355000000145,7.334785000000001,2725,90.83333333333333,3000
QF_LIA,CSBS,25433.270000000124,8.477756666666668,2653,88.43333333333334,3000
QF_LIA,SBS,60022.37999999923,20.007460000000002,2064,68.8,3000
QF_NRA,VBS,20894.154000000155,6.964718,2689,89.63333333333333,3000
QF_NRA,GRACKLE,24079.373000000138,8.026457666666667,2672,89.06666666666668,3000
QF_NRA,CSBS,41890.51199999955,13.963503999999999,2332,77.73333333333333,3000
QF_NRA,SBS,164340.10600000015,54.78003533333333,281,9.366666666666665,3000
