metric,mean,std
Grackle avg PAR-2,9.764713454217913,2.619949112417389
Grackle solved%,86.83698439253165,4.127186519026686
CSBS avg PAR-2,12.847681179881036,2.536299880019984
CSBS solved%,80.70971008480484,4.056501916455527
ΔPAR-2 vs CSBS (total),5513.47719999996,3177.3736471789166
VBS disagreement%,77.54466181700138,4.222169055880801
GRACKLE QF_BV avg_par2,15.305050477043535,11.04245422747258
GRACKLE QF_BV solved_pct,78.53390117757316,15.458427168650978
CSBS QF_BV avg_par2,18.805719579537733,14.747937767142716
CSBS QF_BV solved_pct,71.1944062496278,22.97346159947035
VBS QF_BV avg_par2,14.704815320657705,10.56315874369436
VBS QF_BV solved_pct,78.53390117757316,15.458427168650978
GRACKLE QF_LIA avg_par2,7.459951431680599,7.203409928103051
GRACKLE QF_LIA solved_pct,90.71717811489339,10.76242575303906
CSBS QF_LIA avg_par2,8.233650584738776,7.516023073211017
CSBS QF_LIA solved_pct,89.124446725262,11.54864493908794
VBS QF_LIA avg_par2,6.2014191938107786,6.53062950370031
VBS QF_LIA solved_pct,91.49223788810559,9.659804527128847
GRACKLE QF_NRA avg_par2,17.170814813081254,18.1678405429505
GRACKLE QF_NRA solved_pct,74.12497422497025,30.324237893685567
CSBS QF_NRA avg_par2,23.781746794070475,20.032824799944287
CSBS QF_NRA solved_pct,61.65683215209433,33.280421515156185
VBS QF_NRA avg_par2,16.18486126085734,18.266736188651592
VBS QF_NRA solved_pct,74.50813661528896,30.360603670092114
