benchmark,solver,score
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1302.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1302.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1302.smt2,z3::z3_bv_default,0.005
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1302.smt2,z3::z3_bv_eager,0.009
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1334.smt2,cvc5::cvc5_bv_default,0.046
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1334.smt2,cvc5::cvc5_bv_eager,0.004
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1334.smt2,z3::z3_bv_default,0.008
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1334.smt2,z3::z3_bv_eager,0.01
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1407.smt2,cvc5::cvc5_bv_default,0.043
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1407.smt2,cvc5::cvc5_bv_eager,0.011
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1407.smt2,z3::z3_bv_default,0.009
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1407.smt2,z3::z3_bv_eager,0.012
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1482.smt2,cvc5::cvc5_bv_default,0.511
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1482.smt2,cvc5::cvc5_bv_eager,0.433
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1482.smt2,z3::z3_bv_default,0.004
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1482.smt2,z3::z3_bv_eager,0.01
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_181.smt2,cvc5::cvc5_bv_default,0.037
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_181.smt2,cvc5::cvc5_bv_eager,0.004
