experiment_code,knob,value,logic,fold,total,vbs_par2,vbs_solved,sbs_par2,sbs_solved,sibyl_par2,sibyl_solved,vbs_matches,wall_seconds
ABL_DATA_WEIGHT,data_weight,order,QF_BV,1,588,9113.724999999991,521,13268.59999999997,487,12014.480000000001,498,247,3314.4
ABL_DATA_WEIGHT,data_weight,order,QF_BV,2,588,11532.377999999995,506,16360.239999999965,463,14199.822000000002,484,231,3302.4
ABL_DATA_WEIGHT,data_weight,order,QF_BV,3,588,10040.894000000004,515,14646.50199999996,475,13034.80099999998,489,218,3411.1
ABL_DATA_WEIGHT,data_weight,order,QF_BV,4,588,8881.575999999988,530,14087.824999999975,481,12542.826999999976,497,228,3340.2
ABL_DATA_WEIGHT,data_weight,order,QF_BV,5,592,9597.823000000006,521,13015.418999999983,491,13091.484999999993,493,232,3458.7
