strategy,total_par2,avg_par2,solved,solved_pct
VBS,78081.87399999998,8.67576377777778,7860,87.33333333333333
GRACKLE,86103.77900000148,9.567086555555555,7799,86.65555555555555
CSBS,110641.88200000109,12.293542444444446,7313,81.25555555555556
SBS,358185.32400000695,39.798369333333326,3132,34.8
