logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,37214.73899999998,12.404913,2451,81.69999999999999,3000
QF_BV,GRACKLE,39426.12499999999,13.142041666666668,2432,81.06666666666666,3000
QF_BV,CSBS,45978.66000000013,15.326220000000001,2295,76.5,3000
QF_BV,SBS,136069.7999999994,45.35659999999999,758,25.266666666666666,3000
QF_LIA,VBS,19814.365000000143,6.6047883333333335,2721,90.7,3000
QF_LIA,GRACKLE,22738.029000000144,7.579343,2690,89.66666666666666,3000
QF_LIA,CSBS,23891.370000000137,7.963790000000001,2665,88.83333333333333,3000
QF_LIA,SBS,58863.119999999195,19.62104,2072,69.06666666666666,3000
QF_NRA,VBS,21052.7700000001,7.01759,2688,89.60000000000001,3000
QF_NRA,GRACKLE,23939.625000000095,7.979875,2677,89.23333333333333,3000
QF_NRA,CSBS,40771.85199999959,13.590617333333332,2353,78.43333333333334,3000
QF_NRA,SBS,163252.40399999992,54.41746799999999,302,10.066666666666666,3000
