logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,36934.23000000001,12.311409999999999,2455,81.83333333333334,3000
QF_BV,GRACKLE,38973.483000000204,12.991160999999998,2439,81.3,3000
QF_BV,CSBS,45693.38000000023,15.231126666666668,2298,76.6,3000
QF_BV,SBS,135808.0399999997,45.26934666666666,763,25.433333333333337,3000
QF_LIA,VBS,20208.481999999898,6.736160666666666,2717,90.56666666666666,3000
QF_LIA,GRACKLE,23242.350999999664,7.747450333333333,2691,89.7,3000
QF_LIA,CSBS,25011.049999999672,8.337016666666667,2654,88.46666666666667,3000
QF_LIA,SBS,60137.50999999968,20.045836666666666,2061,68.7,3000
QF_NRA,VBS,20630.802000000152,6.8769339999999985,2694,89.8,3000
QF_NRA,GRACKLE,23795.331000000115,7.931777000000002,2681,89.36666666666667,3000
QF_NRA,CSBS,40678.877999999604,13.559626000000002,2358,78.60000000000001,3000
QF_NRA,SBS,163055.63099999994,54.351876999999995,308,10.266666666666667,3000
