tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
extended,REF-VECTOR,MachSMT162,GreedyLogicCard,SelectArgmin,QF_LIA,456,0,7865.95,91.2,0.2921,82.5,20.9,2400.0,600.0,1299621,40
extended,REF-VECTOR,MachSMT162,GreedyLogicCard,SelectArgmin,QF_LIA,456,1,7801.81,91.8,0.3678,81.5,21.8,2400.0,600.0,1299621,40
extended,REF-VECTOR,MachSMT162,GreedyLogicCard,SelectArgmin,QF_LIA,456,2,7207.76,92.7,0.2677,82.8,21.1,2400.0,600.0,1299621,40
extended,REF-VECTOR,MachSMT162,GreedyLogicCard,SelectArgmin,QF_LIA,456,3,5830.88,94.2,0.4513,84.9,19.0,2400.0,600.0,1299621,40
extended,REF-VECTOR,MachSMT162,GreedyLogicCard,SelectArgmin,QF_LIA,456,4,9031.33,89.8,0.2228,82.3,21.0,2400.0,600.0,1299621,40
extended,REF-VECTOR,MachSMT162,GreedyLogicCard,SelectArgmin,QF_LIA,456,MEAN,7547.55,91.9,-13.3181,517.9,,,,1299621,40
