tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
extended,REF-VECTOR,StaticLightBoW,AdaBoostEHM,SelectArgmin,QF_BV,456,0,15900.42,80.0,0.3911,760.4,208.9,2400.0,600.0,1301807,131
extended,REF-VECTOR,StaticLightBoW,AdaBoostEHM,SelectArgmin,QF_BV,456,1,14971.13,81.2,0.3687,800.3,178.0,2400.0,600.0,1301807,131
extended,REF-VECTOR,StaticLightBoW,AdaBoostEHM,SelectArgmin,QF_BV,456,2,16721.64,79.0,0.5090,845.0,134.7,2400.0,600.0,1301807,131
extended,REF-VECTOR,StaticLightBoW,AdaBoostEHM,SelectArgmin,QF_BV,456,3,17515.06,77.7,0.5637,717.7,264.0,2400.0,600.0,1301807,131
extended,REF-VECTOR,StaticLightBoW,AdaBoostEHM,SelectArgmin,QF_BV,456,4,14579.22,81.7,0.3306,801.2,188.4,2400.0,600.0,1301807,131
extended,REF-VECTOR,StaticLightBoW,AdaBoostEHM,SelectArgmin,QF_BV,456,MEAN,15937.49,79.9,-7.7848,4898.5,,,,1301807,131
