tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
extended,REF-VECTOR,MachSMT162,CollaborativeFilteringCard,SelectArgmin,QF_LIA,42,0,7405.58,92.2,0.2083,84.6,20.4,2400.0,600.0,1299621,6
extended,REF-VECTOR,MachSMT162,CollaborativeFilteringCard,SelectArgmin,QF_LIA,42,1,7237.89,92.0,0.2257,82.2,22.1,2400.0,600.0,1299621,6
extended,REF-VECTOR,MachSMT162,CollaborativeFilteringCard,SelectArgmin,QF_LIA,42,2,8089.59,91.3,0.1709,81.9,22.4,2400.0,600.0,1299621,6
extended,REF-VECTOR,MachSMT162,CollaborativeFilteringCard,SelectArgmin,QF_LIA,42,3,5942.07,94.3,0.2471,86.4,18.7,2400.0,600.0,1299621,6
extended,REF-VECTOR,MachSMT162,CollaborativeFilteringCard,SelectArgmin,QF_LIA,42,4,6572.74,93.7,0.2708,83.7,20.6,2400.0,600.0,1299621,6
extended,REF-VECTOR,MachSMT162,CollaborativeFilteringCard,SelectArgmin,QF_LIA,42,MEAN,7049.57,92.7,18.3872,522.9,,,,1299621,6
