tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
extended,REF-VECTOR,StaticExpanded,AdaBoostEHM,SelectArgmin,QF_BV,123,0,18384.29,75.8,0.3784,1594.4,196.5,2400.0,600.0,1301807,81
extended,REF-VECTOR,StaticExpanded,AdaBoostEHM,SelectArgmin,QF_BV,123,1,14489.34,81.2,0.3228,1322.7,213.8,2400.0,600.0,1301807,81
extended,REF-VECTOR,StaticExpanded,AdaBoostEHM,SelectArgmin,QF_BV,123,2,13514.39,82.8,0.3033,1207.2,257.0,2400.0,600.0,1301807,81
extended,REF-VECTOR,StaticExpanded,AdaBoostEHM,SelectArgmin,QF_BV,123,3,13634.94,83.0,0.3026,1311.2,163.4,2400.0,600.0,1301807,81
extended,REF-VECTOR,StaticExpanded,AdaBoostEHM,SelectArgmin,QF_BV,123,4,14478.04,81.0,0.3814,1284.6,158.4,2400.0,600.0,1301807,81
extended,REF-VECTOR,StaticExpanded,AdaBoostEHM,SelectArgmin,QF_BV,123,MEAN,14900.20,80.8,12.9727,7709.2,,,,1301807,81
