tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
extended,REF-VECTOR,EntropyFeatures,AdaBoostEHM,SelectArgmin,QF_BV,456,0,18034.75,76.2,0.5778,958.1,219.2,2400.0,600.0,1301807,53
extended,REF-VECTOR,EntropyFeatures,AdaBoostEHM,SelectArgmin,QF_BV,456,1,16825.75,77.7,0.5382,845.2,182.9,2400.0,600.0,1301807,53
extended,REF-VECTOR,EntropyFeatures,AdaBoostEHM,SelectArgmin,QF_BV,456,2,16928.89,78.2,0.5277,866.1,134.2,2400.0,600.0,1301807,53
extended,REF-VECTOR,EntropyFeatures,AdaBoostEHM,SelectArgmin,QF_BV,456,3,17838.20,76.5,0.5925,714.6,264.2,2400.0,600.0,1301807,53
extended,REF-VECTOR,EntropyFeatures,AdaBoostEHM,SelectArgmin,QF_BV,456,4,16915.86,77.7,0.5438,789.0,179.7,2400.0,600.0,1301807,53
extended,REF-VECTOR,EntropyFeatures,AdaBoostEHM,SelectArgmin,QF_BV,456,MEAN,17308.69,77.2,-41.0946,5153.3,,,,1301807,53
