tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
extended,REF-VECTOR,MachSMT162,PWCCard,SelectArgmin,QF_LIA,456,0,7688.85,91.2,0.2630,85.7,21.2,2400.0,600.0,1299621,76
extended,REF-VECTOR,MachSMT162,PWCCard,SelectArgmin,QF_LIA,456,1,6996.05,92.8,0.2266,84.4,21.9,2400.0,600.0,1299621,76
extended,REF-VECTOR,MachSMT162,PWCCard,SelectArgmin,QF_LIA,456,2,6672.18,93.2,0.1735,85.8,21.4,2400.0,600.0,1299621,76
extended,REF-VECTOR,MachSMT162,PWCCard,SelectArgmin,QF_LIA,456,3,5669.54,94.3,0.4112,88.7,18.9,2400.0,600.0,1299621,76
extended,REF-VECTOR,MachSMT162,PWCCard,SelectArgmin,QF_LIA,456,4,8383.95,90.8,0.1352,85.4,21.5,2400.0,600.0,1299621,76
extended,REF-VECTOR,MachSMT162,PWCCard,SelectArgmin,QF_LIA,456,MEAN,7082.11,92.5,17.0127,535.0,,,,1299621,76
