tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
extended,REF-VECTOR,HashKernel,AdaBoostEHM,SelectArgmin,QF_LIA,123,0,8271.51,90.0,0.4639,740.4,67.2,2400.0,600.0,1299949,56
extended,REF-VECTOR,HashKernel,AdaBoostEHM,SelectArgmin,QF_LIA,123,1,7420.02,91.3,0.5386,722.6,65.8,2400.0,600.0,1299949,56
extended,REF-VECTOR,HashKernel,AdaBoostEHM,SelectArgmin,QF_LIA,123,2,7703.52,91.3,0.4853,727.7,66.3,2400.0,600.0,1299949,56
extended,REF-VECTOR,HashKernel,AdaBoostEHM,SelectArgmin,QF_LIA,123,3,10280.35,87.7,0.4997,716.8,74.8,2400.0,600.0,1299949,56
extended,REF-VECTOR,HashKernel,AdaBoostEHM,SelectArgmin,QF_LIA,123,4,9254.43,88.5,0.4537,743.1,66.0,2400.0,600.0,1299949,56
extended,REF-VECTOR,HashKernel,AdaBoostEHM,SelectArgmin,QF_LIA,123,MEAN,8585.97,89.8,-84.4539,3990.8,,,,1299949,56
