tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
extended,REF-VECTOR,MachSMT162,AdaBoostEHM,ClusterDispatchPolicy,QF_BV,123,0,16755.09,78.8,0.2563,693.3,153.0,2400.0,600.0,1301809,3
extended,REF-VECTOR,MachSMT162,AdaBoostEHM,ClusterDispatchPolicy,QF_BV,123,1,15297.20,80.7,0.3966,637.8,179.3,2400.0,600.0,1301809,3
extended,REF-VECTOR,MachSMT162,AdaBoostEHM,ClusterDispatchPolicy,QF_BV,123,2,13793.77,82.8,0.3302,586.1,200.9,2400.0,600.0,1301809,3
extended,REF-VECTOR,MachSMT162,AdaBoostEHM,ClusterDispatchPolicy,QF_BV,123,3,14421.20,81.5,0.3777,660.1,127.0,2400.0,600.0,1301809,3
extended,REF-VECTOR,MachSMT162,AdaBoostEHM,ClusterDispatchPolicy,QF_BV,123,4,14207.99,82.0,0.3556,649.5,129.9,2400.0,600.0,1301809,3
extended,REF-VECTOR,MachSMT162,AdaBoostEHM,ClusterDispatchPolicy,QF_BV,123,MEAN,14895.05,81.2,13.9538,4016.9,,,,1301809,3
