tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
extended,REF-VECTOR,MachSMT162,ConformalCard,SelectArgmin,QF_BV,456,0,19365.29,75.2,0.6942,678.3,184.9,2400.0,600.0,1299621,17
extended,REF-VECTOR,MachSMT162,ConformalCard,SelectArgmin,QF_BV,456,1,17769.44,77.2,0.6245,701.5,151.9,2400.0,600.0,1299621,17
extended,REF-VECTOR,MachSMT162,ConformalCard,SelectArgmin,QF_BV,456,2,18235.53,77.0,0.6456,742.9,113.1,2400.0,600.0,1299621,17
extended,REF-VECTOR,MachSMT162,ConformalCard,SelectArgmin,QF_BV,456,3,19774.91,74.7,0.7654,619.2,235.4,2400.0,600.0,1299621,17
extended,REF-VECTOR,MachSMT162,ConformalCard,SelectArgmin,QF_BV,456,4,17718.22,77.3,0.6170,690.4,165.6,2400.0,600.0,1299621,17
extended,REF-VECTOR,MachSMT162,ConformalCard,SelectArgmin,QF_BV,456,MEAN,18572.68,76.3,-68.9605,4283.2,,,,1299621,17
