tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
extended,REF-VECTOR,StaticLightBoW,AdaBoostEHM,SelectArgmin,QF_LIA,123,0,7221.07,92.2,0.2780,104.1,25.0,2400.0,600.0,1301807,128
extended,REF-VECTOR,StaticLightBoW,AdaBoostEHM,SelectArgmin,QF_LIA,123,1,8556.23,90.2,0.7742,103.1,25.4,2400.0,600.0,1301807,128
extended,REF-VECTOR,StaticLightBoW,AdaBoostEHM,SelectArgmin,QF_LIA,123,2,7232.24,92.7,0.3945,109.0,26.6,2400.0,600.0,1301807,128
extended,REF-VECTOR,StaticLightBoW,AdaBoostEHM,SelectArgmin,QF_LIA,123,3,9974.78,88.5,0.4552,106.2,29.7,2400.0,600.0,1301807,128
extended,REF-VECTOR,StaticLightBoW,AdaBoostEHM,SelectArgmin,QF_LIA,123,4,8304.06,91.5,0.3044,109.5,25.5,2400.0,600.0,1301807,128
extended,REF-VECTOR,StaticLightBoW,AdaBoostEHM,SelectArgmin,QF_LIA,123,MEAN,8257.67,91.0,-58.8898,664.2,,,,1301807,128
