tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
extended,REF-VECTOR,MachSMT162,MOSAPCard,SelectArgmin,QF_LIA,42,0,7322.13,92.0,0.1947,87.0,20.4,2400.0,600.0,1299621,54
extended,REF-VECTOR,MachSMT162,MOSAPCard,SelectArgmin,QF_LIA,42,1,7175.79,92.0,0.2152,84.8,22.0,2400.0,600.0,1299621,54
extended,REF-VECTOR,MachSMT162,MOSAPCard,SelectArgmin,QF_LIA,42,2,7961.48,91.2,0.1523,85.3,22.6,2400.0,600.0,1299621,54
extended,REF-VECTOR,MachSMT162,MOSAPCard,SelectArgmin,QF_LIA,42,3,5940.41,94.2,0.2467,89.0,18.6,2400.0,600.0,1299621,54
extended,REF-VECTOR,MachSMT162,MOSAPCard,SelectArgmin,QF_LIA,42,4,6570.64,93.3,0.2704,87.0,20.5,2400.0,600.0,1299621,54
extended,REF-VECTOR,MachSMT162,MOSAPCard,SelectArgmin,QF_LIA,42,MEAN,6994.09,92.5,22.1431,537.3,,,,1299621,54
