tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
extended,REF-VECTOR,MachSMT162,AdaBoostEHM,PresolverThenSelectPolicy,QF_BV,42,0,15416.08,80.0,0.3419,731.1,129.7,2400.0,600.0,1301809,43
extended,REF-VECTOR,MachSMT162,AdaBoostEHM,PresolverThenSelectPolicy,QF_BV,42,1,14831.42,81.0,0.3356,647.1,202.9,2400.0,600.0,1301809,43
extended,REF-VECTOR,MachSMT162,AdaBoostEHM,PresolverThenSelectPolicy,QF_BV,42,2,12090.67,85.3,0.1682,736.7,119.7,2400.0,600.0,1301809,43
extended,REF-VECTOR,MachSMT162,AdaBoostEHM,PresolverThenSelectPolicy,QF_BV,42,3,14946.85,80.8,0.3008,641.6,194.6,2400.0,600.0,1301809,43
extended,REF-VECTOR,MachSMT162,AdaBoostEHM,PresolverThenSelectPolicy,QF_BV,42,4,13985.18,82.2,0.2515,624.7,178.4,2400.0,600.0,1301809,43
extended,REF-VECTOR,MachSMT162,AdaBoostEHM,PresolverThenSelectPolicy,QF_BV,42,MEAN,14254.04,81.9,29.5712,4206.6,,,,1301809,43
