variant_index,variant_value,logic,mean_par2,std_par2,mean_solve_rate,n_folds,delta_vs_ref
0,42,QF_BV,33.0407,28.6799,0.7425,5,0.0
0,42,QF_LIA,25.3343,21.2881,0.8102,5,0.0
0,42,QF_NRA,25.1943,32.0023,0.8242,5,0.0
1,123,QF_BV,29.7455,23.2064,0.7741,5,-3.2952
1,123,QF_LIA,16.2803,8.5128,0.8948,5,-9.054
1,123,QF_NRA,24.2444,31.7668,0.829,5,-0.9499
2,456,QF_BV,37.5871,28.3786,0.704,5,4.5464
2,456,QF_LIA,19.0494,11.8638,0.8667,5,-6.2849
2,456,QF_NRA,24.1139,31.3492,0.8377,5,-1.0804
