strategy,total_par2,avg_par2,solved,solved_pct
VBS,77090.45600000017,8.565606222222224,7885,87.6111111111111
GRACKLE,85361.42900000184,9.484603222222221,7839,87.1
CSBS,110501.66000000174,12.277962222222222,7339,81.54444444444444
SBS,357717.7930000051,39.74642144444444,3156,35.06666666666667
