strategy,total_par2,avg_par2,solved,solved_pct
VBS,74860.6469999996,8.317849666666666,8052,89.46666666666667
GRACKLE,100669.15100000078,11.185461222222221,8025,89.16666666666667
CSBS,111590.24900000192,12.398916555555553,7498,83.31111111111112
SBS,358559.13700000604,39.83990411111111,3225,35.833333333333336
