logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,36148.83899999994,12.049613,2470,82.33333333333334,3000
QF_BV,GRACKLE,38147.17599999998,12.715725333333333,2459,81.96666666666667,3000
QF_BV,CSBS,44996.6700000001,14.99889,2311,77.03333333333333,3000
QF_BV,SBS,135638.77999999945,45.21292666666667,765,25.5,3000
QF_LIA,VBS,20536.026000000034,6.845342,2715,90.5,3000
QF_LIA,GRACKLE,24898.241999999984,8.299414,2683,89.43333333333334,3000
QF_LIA,CSBS,26577.76999999997,8.859256666666665,2647,88.23333333333333,3000
QF_LIA,SBS,60301.87999999899,20.100626666666667,2067,68.89999999999999,3000
QF_NRA,VBS,20498.900000000114,6.8329666666666675,2696,89.86666666666666,3000
QF_NRA,GRACKLE,22459.04300000005,7.486347666666667,2682,89.4,3000
QF_NRA,CSBS,31076.440000000064,10.358813333333334,2522,84.06666666666666,3000
QF_NRA,SBS,162406.191,54.135397,318,10.6,3000
