tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
core,REF-GNN,SibylASTUDFeaturiser,GCNCard,SelectArgmin,QF_LIA,123,0,7193.69,92.3,0.2731,317.4,66.6,2400.0,600.0,1133434,12
core,REF-GNN,SibylASTUDFeaturiser,GCNCard,SelectArgmin,QF_LIA,123,1,6620.04,93.3,0.3728,305.9,60.6,2400.0,600.0,1133434,12
core,REF-GNN,SibylASTUDFeaturiser,GCNCard,SelectArgmin,QF_LIA,123,2,7487.04,92.3,0.4436,307.2,61.1,2400.0,600.0,1133434,12
core,REF-GNN,SibylASTUDFeaturiser,GCNCard,SelectArgmin,QF_LIA,123,3,8802.10,90.7,0.2841,298.5,68.7,2400.0,600.0,1133434,12
core,REF-GNN,SibylASTUDFeaturiser,GCNCard,SelectArgmin,QF_LIA,123,4,7684.75,91.7,0.2071,309.3,59.8,2400.0,600.0,1133434,12
core,REF-GNN,SibylASTUDFeaturiser,GCNCard,SelectArgmin,QF_LIA,123,MEAN,7557.53,92.1,-13.9857,1855.0,,,,1133434,12
