tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
core,REF-GNN,SibylASTUDFeaturiser,GraphSAGECard,SelectArgmin,QF_LIA,123,0,7216.75,92.5,0.2772,326.9,69.7,2400.0,600.0,1133434,30
core,REF-GNN,SibylASTUDFeaturiser,GraphSAGECard,SelectArgmin,QF_LIA,123,1,6412.18,93.7,0.3297,312.1,62.6,2400.0,600.0,1133434,30
core,REF-GNN,SibylASTUDFeaturiser,GraphSAGECard,SelectArgmin,QF_LIA,123,2,6875.00,93.0,0.3256,314.5,64.0,2400.0,600.0,1133434,30
core,REF-GNN,SibylASTUDFeaturiser,GraphSAGECard,SelectArgmin,QF_LIA,123,3,8944.98,90.7,0.3049,308.6,72.2,2400.0,600.0,1133434,30
core,REF-GNN,SibylASTUDFeaturiser,GraphSAGECard,SelectArgmin,QF_LIA,123,4,7665.92,91.7,0.2042,318.0,62.3,2400.0,600.0,1133434,30
core,REF-GNN,SibylASTUDFeaturiser,GraphSAGECard,SelectArgmin,QF_LIA,123,MEAN,7422.97,92.3,-6.2711,1910.9,,,,1133434,30
