variant_index,variant_value,logic,mean_par2,std_par2,mean_solve_rate,n_folds,delta_vs_ref
0,60,QF_BV,34.499,25.1674,0.7311,5,1.4583
0,60,QF_LIA,20.302,10.6453,0.8555,5,-5.0323
0,60,QF_NRA,25.0067,32.0878,0.8264,5,-0.1876
1,120,QF_BV,33.0407,28.6799,0.7425,5,0.0
1,120,QF_LIA,25.3343,21.2881,0.8102,5,0.0
1,120,QF_NRA,25.1943,32.0023,0.8242,5,0.0
2,240,QF_BV,28.5495,26.4837,0.7835,5,-4.4912
2,240,QF_LIA,25.728,17.8247,0.8086,5,0.3937
2,240,QF_NRA,27.0578,32.3166,0.8107,5,1.8635
