strategy,total_par2,avg_par2,solved,solved_pct
VBS,76891.83099999995,8.543536777777778,7877,87.52222222222223
GRACKLE,85823.86500000153,9.535985,7807,86.74444444444444
CSBS,110924.60800000132,12.324956444444444,7308,81.2
SBS,358181.66100000753,39.79796233333334,3128,34.75555555555555
