experiment_code,knob,value,logic,fold,total,vbs_par2,vbs_solved,sbs_par2,sbs_solved,sibyl_par2,sibyl_solved,vbs_matches,wall_seconds
ABL_MODE,mode,cat,QF_LIA,1,518,5843.419000000002,480,6597.441000000005,476,7063.576000000004,471,218,3390.5
ABL_MODE,mode,cat,QF_LIA,2,518,5323.897000000012,484,6872.287000000005,473,6350.677000000007,477,184,3339.0
ABL_MODE,mode,cat,QF_LIA,3,518,6250.122000000002,476,7535.756000000002,467,7320.762000000006,468,191,3376.4
ABL_MODE,mode,cat,QF_LIA,4,518,6104.343999999999,479,7853.262000000002,467,7483.468999999996,469,198,3441.8
ABL_MODE,mode,cat,QF_LIA,5,522,5094.004,493,6717.551999999992,480,6062.159999999996,486,210,3381.4
