logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,37042.19,12.347396666666667,2458,81.93333333333334,3000
QF_BV,GRACKLE,38778.829000000034,12.926276333333332,2450,81.66666666666667,3000
QF_BV,CSBS,45896.87000000018,15.298956666666665,2298,76.6,3000
QF_BV,SBS,136030.28999999963,45.34342999999999,761,25.366666666666664,3000
QF_LIA,VBS,17954.914000000037,5.984971333333333,2760,92.0,3000
QF_LIA,GRACKLE,20942.764999999934,6.980921666666666,2742,91.4,3000
QF_LIA,CSBS,24000.349999999875,8.000116666666667,2678,89.26666666666667,3000
QF_LIA,SBS,59033.00999999909,19.67767,2085,69.5,3000
QF_NRA,VBS,20264.082000000148,6.754694000000001,2697,89.9,3000
QF_NRA,GRACKLE,22929.98000000013,7.643326666666667,2695,89.83333333333333,3000
QF_NRA,CSBS,40767.024999999674,13.589008333333336,2354,78.46666666666667,3000
QF_NRA,SBS,163294.70499999996,54.43156833333334,302,10.066666666666666,3000
