logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,36446.745999999956,12.148915333333333,2464,82.13333333333334,3000
QF_BV,GRACKLE,38448.137000000024,12.816045666666668,2454,81.8,3000
QF_BV,CSBS,45647.700000000215,15.2159,2301,76.7,3000
QF_BV,SBS,135884.53999999946,45.29484666666667,762,25.4,3000
QF_LIA,VBS,17778.560000000165,5.926186666666667,2750,91.66666666666666,3000
QF_LIA,GRACKLE,23474.67999999988,7.824893333333334,2691,89.7,3000
QF_LIA,CSBS,25634.88999999998,8.544963333333333,2642,88.06666666666668,3000
QF_LIA,SBS,60253.699999999066,20.084566666666667,2051,68.36666666666666,3000
QF_NRA,VBS,20227.391000000127,6.742463666666667,2698,89.93333333333334,3000
QF_NRA,GRACKLE,23760.478000000126,7.920159333333334,2680,89.33333333333333,3000
QF_NRA,CSBS,32604.179000000044,10.868059666666667,2495,83.16666666666667,3000
QF_NRA,SBS,163771.468,54.59048933333333,293,9.766666666666666,3000
