logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,37200.00300000002,12.400001,2452,81.73333333333333,3000
QF_BV,GRACKLE,38190.59200000003,12.730197333333335,2452,81.73333333333333,3000
QF_BV,CSBS,45151.01000000022,15.050336666666666,2307,76.9,3000
QF_BV,SBS,135730.88999999972,45.24363,763,25.433333333333337,3000
QF_LIA,VBS,21711.960000000057,7.2373199999999995,2701,90.03333333333333,3000
QF_LIA,GRACKLE,25614.35699999998,8.538119000000002,2675,89.16666666666667,3000
QF_LIA,CSBS,28426.919999999984,9.47564,2618,87.26666666666667,3000
QF_LIA,SBS,62106.659999999116,20.70222,2039,67.96666666666667,3000
QF_NRA,VBS,20665.656000000097,6.888552,2694,89.8,3000
QF_NRA,GRACKLE,22324.154000000064,7.441384666666666,2683,89.43333333333334,3000
QF_NRA,CSBS,30893.88300000007,10.297960999999999,2525,84.16666666666667,3000
QF_NRA,SBS,162156.0759999999,54.05202533333333,322,10.733333333333334,3000
