experiment_code,knob,value,logic,fold,total,vbs_par2,vbs_solved,sbs_par2,sbs_solved,sibyl_par2,sibyl_solved,vbs_matches,wall_seconds
ABL_POOL_TYPE,pool_type,mean,QF_LIA,1,518,5843.419000000002,480,6597.441000000005,476,7312.580000000003,469,207,4056.7
ABL_POOL_TYPE,pool_type,mean,QF_LIA,2,518,5323.897000000012,484,6872.287000000005,473,6379.608000000008,477,183,4010.8
ABL_POOL_TYPE,pool_type,mean,QF_LIA,3,518,6250.122000000002,476,7535.756000000002,467,7508.4340000000075,467,194,4026.7
ABL_POOL_TYPE,pool_type,mean,QF_LIA,4,518,6104.343999999999,479,7853.262000000002,467,8339.348999999997,461,202,4063.1
ABL_POOL_TYPE,pool_type,mean,QF_LIA,5,522,5094.004,493,6717.551999999992,480,6693.823999999996,480,207,3971.9
