logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,36014.88699999994,12.004962333333333,2468,82.26666666666667,3000
QF_BV,GRACKLE,37814.53299999988,12.604844333333334,2465,82.16666666666667,3000
QF_BV,CSBS,45105.05000000014,15.035016666666667,2307,76.9,3000
QF_BV,SBS,135680.3899999996,45.22679666666667,764,25.466666666666665,3000
QF_LIA,VBS,18558.107000000204,6.186035666666666,2746,91.53333333333333,3000
QF_LIA,GRACKLE,22161.999000000167,7.387333000000001,2726,90.86666666666666,3000
QF_LIA,CSBS,25755.62000000011,8.585206666666666,2649,88.3,3000
QF_LIA,SBS,60329.99999999923,20.11,2059,68.63333333333334,3000
QF_NRA,VBS,20487.689000000137,6.829229666666667,2697,89.9,3000
QF_NRA,GRACKLE,22652.937000000038,7.550979000000001,2680,89.33333333333333,3000
QF_NRA,CSBS,32074.21700000005,10.691405666666666,2504,83.46666666666667,3000
QF_NRA,SBS,163255.31400000007,54.418438,302,10.066666666666666,3000
