logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,35440.51999999994,11.813506666666669,2478,82.6,3000
QF_BV,GRACKLE,37786.41899999999,12.595472999999998,2465,82.16666666666667,3000
QF_BV,CSBS,45042.38000000018,15.014126666666668,2311,77.03333333333333,3000
QF_BV,SBS,135728.02999999936,45.24267666666667,764,25.466666666666665,3000
QF_LIA,VBS,15090.497000000098,5.030165666666667,2786,92.86666666666666,3000
QF_LIA,GRACKLE,18410.69200000001,6.136897333333333,2756,91.86666666666666,3000
QF_LIA,CSBS,23408.879999999976,7.802959999999999,2666,88.86666666666667,3000
QF_LIA,SBS,58576.16999999932,19.525389999999998,2073,69.1,3000
QF_NRA,VBS,20315.397000000117,6.771799000000001,2695,89.83333333333333,3000
QF_NRA,GRACKLE,23439.544000000114,7.8131813333333335,2685,89.5,3000
QF_NRA,CSBS,40517.53899999968,13.505846333333334,2359,78.63333333333333,3000
QF_NRA,SBS,163046.974,54.34899133333333,307,10.233333333333333,3000
