logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,37067.05200000005,12.355683999999998,2453,81.76666666666667,3000
QF_BV,GRACKLE,39237.59199999999,13.079197333333333,2440,81.33333333333333,3000
QF_BV,CSBS,46099.13000000021,15.366376666666667,2294,76.46666666666667,3000
QF_BV,SBS,136093.01999999944,45.36434,758,25.266666666666666,3000
QF_LIA,VBS,19125.18200000019,6.375060666666667,2730,91.0,3000
QF_LIA,GRACKLE,22462.497000000272,7.487499,2695,89.83333333333333,3000
QF_LIA,CSBS,24279.370000000265,8.093123333333333,2656,88.53333333333333,3000
QF_LIA,SBS,59054.55999999935,19.684853333333333,2063,68.76666666666667,3000
QF_NRA,VBS,20699.597000000096,6.899865666666667,2694,89.8,3000
QF_NRA,GRACKLE,24123.7760000001,8.041258666666668,2672,89.06666666666668,3000
QF_NRA,CSBS,40546.10799999947,13.515369333333336,2358,78.60000000000001,3000
QF_NRA,SBS,163034.08099999995,54.34469366666667,307,10.233333333333333,3000
