logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,35965.03099999994,11.988343666666667,2472,82.39999999999999,3000
QF_BV,GRACKLE,38005.11099999998,12.668370333333336,2461,82.03333333333333,3000
QF_BV,CSBS,45421.84000000012,15.140613333333333,2303,76.76666666666667,3000
QF_BV,SBS,135800.09999999957,45.2667,763,25.433333333333337,3000
QF_LIA,VBS,19011.428000000284,6.337142666666667,2732,91.06666666666666,3000
QF_LIA,GRACKLE,22104.850000000355,7.368283333333334,2695,89.83333333333333,3000
QF_LIA,CSBS,23433.710000000337,7.811236666666666,2667,88.9,3000
QF_LIA,SBS,58025.05999999937,19.341686666666664,2084,69.46666666666667,3000
QF_NRA,VBS,20379.382000000125,6.793127333333333,2696,89.86666666666666,3000
QF_NRA,GRACKLE,23074.815000000133,7.691604999999999,2694,89.8,3000
QF_NRA,CSBS,40534.99099999966,13.511663666666667,2359,78.63333333333333,3000
QF_NRA,SBS,163013.29199999996,54.33776399999999,308,10.266666666666667,3000
