experiment_code,knob,value,logic,fold,total,vbs_par2,vbs_solved,sbs_par2,sbs_solved,sibyl_par2,sibyl_solved,vbs_matches,wall_seconds
ABL_DROPOUT,dropout,0.3,QF_LIA,1,50,393.74499999999983,47,409.5049999999998,47,952.1490000000002,43,13,198.6
ABL_DROPOUT,dropout,0.3,QF_LIA,2,50,514.642,47,537.567,47,1180.5700000000002,41,14,196.5
ABL_DROPOUT,dropout,0.3,QF_LIA,3,50,141.99599999999995,49,192.59599999999998,49,423.12000000000006,47,17,195.0
ABL_DROPOUT,dropout,0.3,QF_LIA,4,50,182.693,49,235.31799999999996,49,569.6459999999997,47,8,194.6
ABL_DROPOUT,dropout,0.3,QF_LIA,5,50,335.72499999999997,48,469.758,47,921.241,44,16,189.6
