experiment,variant_idx,value,fold,total,medley_solved,medley_par2,vbs_solved,vbs_par2,csbs_solved,csbs_par2,sbs_solved,sbs_par2
ABL-MDY-H06,0,0.5,0,1783,1616,21787.23,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H06,0,0.5,1,1842,1559,41923.60,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H06,0,0.5,2,1786,1396,51894.59,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H06,0,0.5,3,1813,1488,46503.56,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H06,0,0.5,4,1776,1580,26251.61,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H06,1,0.7,0,1783,1503,34371.45,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H06,1,0.7,1,1842,1587,37198.28,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H06,1,0.7,2,1786,1396,51899.90,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H06,1,0.7,3,1813,1492,46739.27,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H06,1,0.7,4,1776,1587,25550.92,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H06,2,0.85,0,1783,1505,34150.80,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H06,2,0.85,1,1842,1568,38741.90,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H06,2,0.85,2,1786,1396,51899.90,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H06,2,0.85,3,1813,1492,46723.11,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H06,2,0.85,4,1776,1604,23621.25,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H06,3,0.95,0,1783,1625,20758.06,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H06,3,0.95,1,1842,1565,39400.55,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H06,3,0.95,2,1786,1396,51899.90,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H06,3,0.95,3,1813,1492,46737.93,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H06,3,0.95,4,1776,1394,48432.55,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H06,4,0.99,0,1783,1613,22205.12,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H06,4,0.99,1,1842,1560,39620.66,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H06,4,0.99,2,1786,1391,52495.69,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H06,4,0.99,3,1813,1488,46440.61,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H06,4,0.99,4,1776,1580,26758.98,1636,18169.51,1540,35487.41,1545,35158.11
