experiment,variant_idx,value,fold,total,medley_solved,medley_par2,vbs_solved,vbs_par2,csbs_solved,csbs_par2,sbs_solved,sbs_par2
ABL-MDY-H11,0,0,0,1783,1503,34361.64,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H11,0,0,1,1842,1542,43299.37,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H11,0,0,2,1786,1391,52495.69,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H11,0,0,3,1813,1494,45582.24,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H11,0,0,4,1776,1599,24209.88,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H11,1,5,0,1783,1616,21791.84,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H11,1,5,1,1842,1563,41095.96,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H11,1,5,2,1786,1390,52628.95,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H11,1,5,3,1813,1492,46837.53,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H11,1,5,4,1776,1580,26251.60,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H11,2,10,0,1783,1503,34361.64,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H11,2,10,1,1842,1542,43299.37,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H11,2,10,2,1786,1391,52495.69,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H11,2,10,3,1813,1494,45582.24,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H11,2,10,4,1776,1599,24209.88,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H11,3,15,0,1783,1503,34361.63,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H11,3,15,1,1842,1535,44107.50,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H11,3,15,2,1786,1390,52628.95,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H11,3,15,3,1813,1494,45581.88,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H11,3,15,4,1776,1598,24349.14,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H11,4,20,0,1783,1618,21576.39,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H11,4,20,1,1842,1533,44497.90,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H11,4,20,2,1786,1390,52628.95,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H11,4,20,3,1813,1492,46840.10,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H11,4,20,4,1776,1579,26770.94,1636,18169.51,1540,35487.41,1545,35158.11
