experiment,variant_idx,value,fold,total,medley_solved,medley_par2,vbs_solved,vbs_par2,csbs_solved,csbs_par2,sbs_solved,sbs_par2
ABL-MDY-H01,0,3,0,1783,1509,33625.51,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H01,0,3,1,1842,1577,37665.68,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H01,0,3,2,1786,1424,48034.84,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H01,0,3,3,1813,1509,44538.31,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H01,0,3,4,1776,1391,51922.43,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H01,1,5,0,1783,1509,33632.15,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H01,1,5,1,1842,1601,35020.45,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H01,1,5,2,1786,1417,48713.95,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H01,1,5,3,1813,1357,62462.20,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H01,1,5,4,1776,1561,31221.53,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H01,2,10,0,1783,1498,34969.83,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H01,2,10,1,1842,1583,36916.80,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H01,2,10,2,1786,1397,50336.46,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H01,2,10,3,1813,1525,43044.00,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H01,2,10,4,1776,1531,36472.26,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H01,3,20,0,1783,1500,34771.75,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H01,3,20,1,1842,1610,33993.26,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H01,3,20,2,1786,1397,50336.46,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H01,3,20,3,1813,1496,46479.46,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H01,3,20,4,1776,1546,35097.05,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H01,4,50,0,1783,1605,23148.80,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H01,4,50,1,1842,1608,34229.85,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H01,4,50,2,1786,1397,50336.46,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H01,4,50,3,1813,1496,46479.46,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H01,4,50,4,1776,1546,35097.05,1636,18169.51,1540,35487.41,1545,35158.11
