experiment,variant_idx,value,fold,total,medley_solved,medley_par2,vbs_solved,vbs_par2,csbs_solved,csbs_par2,sbs_solved,sbs_par2
ABL-MDY-H03,0,0.1,0,1783,1510,33542.34,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H03,0,0.1,1,1842,1582,37014.68,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H03,0,0.1,2,1786,1434,47194.47,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H03,0,0.1,3,1813,1497,46406.74,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H03,0,0.1,4,1776,1532,36374.47,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H03,1,0.3,0,1783,1507,33856.21,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H03,1,0.3,1,1842,1583,36896.93,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H03,1,0.3,2,1786,1434,47194.47,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H03,1,0.3,3,1813,1542,40430.61,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H03,1,0.3,4,1776,1532,36375.92,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H03,2,0.5,0,1783,1507,33835.93,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H03,2,0.5,1,1842,1584,36798.93,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H03,2,0.5,2,1786,1434,47194.47,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H03,2,0.5,3,1813,1543,40314.42,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H03,2,0.5,4,1776,1532,36375.96,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H03,3,0.7,0,1783,1508,33738.21,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H03,3,0.7,1,1842,1583,36906.55,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H03,3,0.7,2,1786,1434,47194.47,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H03,3,0.7,3,1813,1525,43044.17,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H03,3,0.7,4,1776,1533,36278.37,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H03,4,0.9,0,1783,1498,34969.83,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H03,4,0.9,1,1842,1583,36896.43,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H03,4,0.9,2,1786,1397,50336.46,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H03,4,0.9,3,1813,1524,43113.54,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H03,4,0.9,4,1776,1531,36448.49,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H03,5,1.0,0,1783,1510,33541.99,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H03,5,1.0,1,1842,1582,37014.49,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H03,5,1.0,2,1786,1397,50336.46,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H03,5,1.0,3,1813,1524,43113.42,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H03,5,1.0,4,1776,1546,35097.01,1636,18169.51,1540,35487.41,1545,35158.11
