experiment,variant_idx,value,total,avg_par2,solved,solved_pct,vs_csbs_pct,vs_vbs_pct
ABL-MDY-H11,0,0,9000,22.217,7529,83.7,+9.2,+67.1
ABL-MDY-H11,1,5,9000,20.956,7641,84.9,+3.0,+57.6
ABL-MDY-H11,2,10,9000,22.217,7529,83.7,+9.2,+67.1
ABL-MDY-H11,3,15,9000,22.337,7520,83.6,+9.7,+68.0
ABL-MDY-H11,4,20,9000,21.368,7612,84.6,+5.0,+60.7
