experiment,variant_idx,value,fold,total,medley_solved,medley_par2,vbs_solved,vbs_par2,csbs_solved,csbs_par2,sbs_solved,sbs_par2
ABL-MDY-H08,0,full,0,1783,1625,20758.06,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H08,0,full,1,1842,1565,39400.55,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H08,0,full,2,1786,1396,51899.90,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H08,0,full,3,1813,1492,46737.93,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H08,0,full,4,1776,1394,48432.55,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H08,1,single,0,1783,1623,20968.75,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H08,1,single,1,1842,1585,36435.72,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H08,1,single,2,1786,1433,47262.28,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H08,1,single,3,1813,1326,65871.71,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H08,1,single,4,1776,1399,52507.22,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H08,2,greedy,0,1783,1621,21232.71,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H08,2,greedy,1,1842,1386,59513.18,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H08,2,greedy,2,1786,1365,53577.29,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H08,2,greedy,3,1813,1335,65915.51,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H08,2,greedy,4,1776,1357,52308.55,1636,18169.51,1540,35487.41,1545,35158.11
