experiment,variant_idx,value,total,avg_par2,solved,solved_pct,vs_csbs_pct,vs_vbs_pct
ABL-MDY-H03,0,0.1,9000,22.281,7555,83.9,+9.5,+67.6
ABL-MDY-H03,1,0.3,9000,21.639,7598,84.4,+6.3,+62.8
ABL-MDY-H03,2,0.5,9000,21.613,7600,84.4,+6.2,+62.6
ABL-MDY-H03,3,0.7,9000,21.907,7583,84.3,+7.6,+64.8
ABL-MDY-H03,4,0.9,9000,22.418,7533,83.7,+10.1,+68.6
ABL-MDY-H03,5,1.0,9000,22.123,7559,84.0,+8.7,+66.4
