experiment,variant_idx,value,total,avg_par2,solved,solved_pct,vs_csbs_pct,vs_vbs_pct
ABL-MDY-H06,0,0.5,9000,20.929,7639,84.9,+2.8,+57.4
ABL-MDY-H06,1,0.7,9000,21.751,7565,84.1,+6.9,+63.6
ABL-MDY-H06,2,0.85,9000,21.682,7565,84.1,+6.5,+63.1
ABL-MDY-H06,3,0.95,9000,23.025,7472,83.0,+13.1,+73.2
ABL-MDY-H06,4,0.99,9000,20.836,7632,84.8,+2.4,+56.7
