experiment,variant_idx,value,fold,total,medley_solved,medley_par2,vbs_solved,vbs_par2,csbs_solved,csbs_par2,sbs_solved,sbs_par2
ABL-MDY-H09,0,True,0,1783,1625,20758.06,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H09,0,True,1,1842,1565,39400.55,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H09,0,True,2,1786,1396,51899.90,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H09,0,True,3,1813,1492,46737.93,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H09,0,True,4,1776,1394,48432.55,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H09,1,False,0,1783,0,213960.00,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H09,1,False,1,1842,0,221040.00,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H09,1,False,2,1786,0,214320.00,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H09,1,False,3,1813,0,217560.00,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H09,1,False,4,1776,0,213120.00,1636,18169.51,1540,35487.41,1545,35158.11
