experiment,variant_idx,value,fold,total,medley_solved,medley_par2,vbs_solved,vbs_par2,csbs_solved,csbs_par2,sbs_solved,sbs_par2
ABL-MDY-H04,0,0.5,0,1783,1510,33542.34,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H04,0,0.5,1,1842,1583,36906.44,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H04,0,0.5,2,1786,1434,47194.47,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H04,0,0.5,3,1813,1497,46337.40,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H04,0,0.5,4,1776,1532,36374.67,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H04,1,0.7,0,1783,1508,33738.25,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H04,1,0.7,1,1842,1583,36906.79,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H04,1,0.7,2,1786,1434,47194.47,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H04,1,0.7,3,1813,1542,40407.68,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H04,1,0.7,4,1776,1531,36473.76,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H04,2,0.8,0,1783,1507,33835.93,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H04,2,0.8,1,1842,1582,37026.93,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H04,2,0.8,2,1786,1434,47194.47,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H04,2,0.8,3,1813,1498,46294.26,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H04,2,0.8,4,1776,1532,36352.17,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H04,3,0.9,0,1783,1497,35067.51,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H04,3,0.9,1,1842,1582,36991.65,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H04,3,0.9,2,1786,1397,50336.46,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H04,3,0.9,3,1813,1524,43113.30,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H04,3,0.9,4,1776,1532,36352.40,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H04,4,0.95,0,1783,1510,33541.99,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H04,4,0.95,1,1842,1546,42600.34,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H04,4,0.95,2,1786,1409,49421.01,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H04,4,0.95,3,1813,1524,43113.37,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H04,4,0.95,4,1776,1541,35423.25,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H04,5,1.0,0,1783,1481,37507.23,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H04,5,1.0,1,1842,1343,65084.26,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H04,5,1.0,2,1786,1395,52460.51,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H04,5,1.0,3,1813,1301,68098.10,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H04,5,1.0,4,1776,1417,47653.91,1636,18169.51,1540,35487.41,1545,35158.11
