logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,37481.18200000006,12.493727333333334,2447,81.56666666666666,3000
QF_BV,GRACKLE,39464.98600000009,13.154995333333332,2434,81.13333333333334,3000
QF_BV,CSBS,46120.07000000018,15.373356666666664,2292,76.4,3000
QF_BV,SBS,136011.7599999995,45.33725333333334,759,25.3,3000
QF_LIA,VBS,20001.826000000074,6.667275333333333,2720,90.66666666666666,3000
QF_LIA,GRACKLE,23247.984999999935,7.749328333333333,2697,89.9,3000
QF_LIA,CSBS,25097.91999999995,8.365973333333333,2657,88.56666666666668,3000
QF_LIA,SBS,60100.6999999993,20.033566666666665,2065,68.83333333333333,3000
QF_NRA,VBS,20984.687000000104,6.994895666666666,2688,89.60000000000001,3000
QF_NRA,GRACKLE,23879.933000000114,7.959977666666668,2676,89.2,3000
QF_NRA,CSBS,40667.681999999644,13.555894,2355,78.5,3000
QF_NRA,SBS,163133.773,54.377924333333326,304,10.133333333333333,3000
