experiment_code,knob,value,logic,fold,total,vbs_par2,vbs_solved,sbs_par2,sbs_solved,sibyl_par2,sibyl_solved,vbs_matches,wall_seconds
ABL_EDGE_SETS,edge_sets,"['AST', 'Data']",QF_BV,1,49,455.54299999999984,46,578.7389999999998,45,583.973,45,16,210.1
ABL_EDGE_SETS,edge_sets,"['AST', 'Data']",QF_BV,2,49,422.9680000000001,46,526.468,45,773.6320000000001,43,17,220.3
ABL_EDGE_SETS,edge_sets,"['AST', 'Data']",QF_BV,3,49,505.37000000000006,46,702.8399999999998,44,532.9820000000001,46,18,269.8
ABL_EDGE_SETS,edge_sets,"['AST', 'Data']",QF_BV,4,49,536.347,46,751.6819999999999,44,847.0879999999999,44,16,218.5
ABL_EDGE_SETS,edge_sets,"['AST', 'Data']",QF_BV,5,49,511.2819999999999,45,657.1039999999998,44,632.7470000000001,44,16,218.8
