experiment_code,knob,value,logic,fold,total,vbs_par2,vbs_solved,sbs_par2,sbs_solved,sibyl_par2,sibyl_solved,vbs_matches,wall_seconds
ABL_DROPOUT,dropout,0.0,QF_BV,1,49,455.54299999999984,46,578.7389999999998,45,631.174,45,24,217.3
ABL_DROPOUT,dropout,0.0,QF_BV,2,49,422.9680000000001,46,526.468,45,559.147,45,23,227.4
ABL_DROPOUT,dropout,0.0,QF_BV,3,49,505.37000000000006,46,702.8399999999998,44,710.5019999999998,44,19,222.6
ABL_DROPOUT,dropout,0.0,QF_BV,4,49,536.347,46,751.6819999999999,44,609.8769999999998,46,14,225.6
ABL_DROPOUT,dropout,0.0,QF_BV,5,49,511.2819999999999,45,657.1039999999998,44,654.1720000000001,44,12,225.7
